city,year,month,day,size_bytes
Dubai,2023,8,28,76149
Dubai,2023,8,29,76017
Dubai,2023,8,30,76345
Dubai,2023,8,31,76131
Dubai,2024,6,1,76243
Dubai,2024,6,2,76030
Dubai,2024,6,3,76222
Dubai,2024,6,4,76234
Dubai,2024,6,5,76208
Dubai,2024,6,6,76203
Dubai,2024,6,7,76147
Dubai,2024,6,8,76317
Dubai,2024,6,9,76458
Dubai,2024,6,10,76146
Dubai,2024,6,11,76409
Dubai,2024,6,12,76168
Dubai,2024,6,13,76171
Dubai,2024,6,14,76176
Dubai,2024,6,15,76126
Dubai,2024,6,16,76172
Dubai,2024,6,17,76210
Dubai,2024,6,18,76383
Dubai,2024,6,19,76174
Dubai,2024,6,20,76231
Dubai,2024,6,21,76154
Dubai,2024,6,22,76759
Dubai,2024,6,23,76290
Dubai,2024,6,24,76146
Dubai,2024,6,25,76184
Dubai,2024,6,26,76098
Dubai,2024,6,27,76114
Dubai,2024,6,28,76093
Dubai,2024,6,29,76219
Dubai,2024,6,30,76107
Dubai,2024,7,1,76077
Dubai,2024,7,2,76156
Dubai,2024,7,3,76106
Dubai,2024,7,4,76212
Dubai,2024,7,5,76071
Dubai,2024,7,6,75976
Dubai,2024,7,7,76201
Dubai,2024,7,8,76274
Dubai,2024,7,9,76274
Dubai,2024,7,10,76275
Dubai,2024,7,11,76210
Dubai,2024,7,12,76054
Dubai,2024,7,13,76209
Dubai,2024,7,14,76221
Dubai,2024,7,15,76054
Dubai,2024,7,16,76174
Dubai,2024,7,17,76154
Dubai,2024,7,18,76140
Dubai,2024,7,19,76094
Dubai,2024,7,20,76231
Dubai,2024,7,21,76246
Dubai,2024,7,22,76261
Dubai,2024,7,23,76125
Dubai,2024,7,24,76103
Dubai,2024,7,25,76141
Dubai,2024,7,26,76064
Dubai,2024,7,27,76046
Dubai,2024,7,28,76194
Dubai,2024,7,29,76166
Dubai,2024,7,30,76328
Dubai,2024,7,31,76213
Dubai,2024,8,1,76163
Dubai,2024,8,2,76076
Dubai,2024,8,3,76164
Dubai,2024,8,4,76227
Dubai,2024,8,5,76190
Dubai,2024,8,6,76870
Dubai,2024,8,7,76148
Dubai,2024,8,8,76143
Dubai,2024,8,9,76368
Dubai,2024,8,10,76198
Dubai,2024,8,11,76212
Dubai,2024,8,12,76099
Dubai,2024,8,13,76207
Dubai,2024,8,14,76245
Dubai,2024,8,15,76180
Dubai,2024,8,16,76154
Dubai,2024,8,17,76130
Dubai,2024,8,18,76050
Dubai,2024,8,19,76053
Dubai,2024,8,20,76197
Dubai,2024,8,21,76107
Dubai,2024,8,22,76129
Dubai,2024,8,23,76058
Dubai,2024,8,24,76502
Dubai,2024,8,25,76096
Dubai,2024,8,26,75929
Dubai,2024,8,27,75964
Dubai,2024,8,28,76079
Dubai,2024,8,29,76374
Dubai,2024,8,30,76485
Dubai,2024,8,31,76427
Lagos,2019,6,1,86421
Lagos,2019,6,2,86014
Lagos,2019,6,3,85706
Lagos,2019,6,4,85495
Lagos,2019,6,5,85691
Lagos,2019,6,6,86134
Lagos,2019,6,7,86305
Lagos,2019,6,8,86131
Lagos,2019,6,9,86262
Lagos,2019,6,10,85900
Lagos,2019,6,11,85465
Lagos,2019,6,12,85905
Lagos,2019,6,13,85648
Lagos,2019,6,14,86265
Lagos,2019,6,15,86137
Lagos,2019,6,16,85466
Lagos,2019,6,17,86103
Lagos,2019,6,18,85620
Lagos,2019,6,19,85890
Lagos,2019,6,20,86013
Lagos,2019,6,21,85572
Lagos,2019,6,22,85208
Lagos,2019,6,23,86064
Lagos,2019,6,24,86167
Lagos,2019,6,25,86225
Lagos,2019,6,26,85941
Lagos,2019,6,27,86215
Lagos,2019,6,28,86055
Lagos,2019,6,29,85769
Lagos,2019,6,30,85268
Lagos,2019,7,1,85754
Lagos,2019,7,2,85359
Lagos,2019,7,3,85507
Lagos,2019,7,4,85844
Lagos,2019,7,5,85612
Lagos,2019,7,6,85508
Lagos,2019,7,7,86329
Lagos,2019,7,8,85953
Lagos,2019,7,9,85965
Lagos,2019,7,10,85666
Lagos,2019,7,11,86454
Lagos,2019,7,12,86868
Lagos,2019,7,13,85941
Lagos,2019,7,14,86041
Lagos,2019,7,15,86530
Lagos,2019,7,16,86261
Lagos,2019,7,17,85167
Lagos,2019,7,18,85757
Lagos,2019,7,19,86331
Lagos,2019,7,20,86308
Lagos,2019,7,21,85773
Lagos,2019,7,22,86090
Lagos,2019,7,23,85970
Lagos,2019,7,24,85248
Lagos,2019,7,25,85786
Lagos,2019,7,26,86189
Lagos,2019,7,27,86188
Lagos,2019,7,28,86045
Lagos,2019,7,29,86121
Lagos,2019,7,30,86080
Lagos,2019,7,31,85512
Lagos,2019,8,1,85998
Lagos,2019,8,2,86346
Lagos,2019,8,3,85920
Lagos,2019,8,4,85666
